match_id,tourney_id,tourney_name,tourney_date,match_num,draw_size,tourney_level,best_of,round,minutes,player_id,player_name,seed,rank,rank_points,age,height,hand,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,1stWon_pct,WIN,surface_Clay,surface_Grass,surface_Hard
2023-1005-282,2023-1005,Rabat,20230522,282,32,I,3,R32,153.0,222258,Linda Fruhvirtova,7.0,-0.3037385200471349,963.0,18.0,174.55169772785294,0,0.0,7.0,100.0,60.0,33.0,12.0,11.0,12.0,20.0,0.55,0,1,0,0
2023-1005-283,2023-1005,Rabat,20230522,283,32,I,3,R32,144.0,211814,Julia Grabher,9.024390243902438,0.2284968046147236,769.0,26.8,170.0,0,1.0,9.0,109.0,66.0,42.0,19.0,15.0,8.0,13.0,0.6363636363636364,1,1,0,0
2023-1005-283,2023-1005,Rabat,20230522,283,32,I,3,R32,144.0,204434,Ysaline Bonaventure,9.024390243902438,-0.0961003580294769,746.0,28.7,178.0,1,3.0,7.0,100.0,63.0,34.0,16.0,15.0,7.0,15.0,0.5396825396825397,0,1,0,0
2023-1005-285,2023-1005,Rabat,20230522,285,32,I,3,R32,59.0,203354,Martina Trevisan,1.0,-0.4180493082144996,1608.0,29.5,160.0,1,1.0,1.0,39.0,26.0,13.0,10.0,5.0,6.0,7.0,0.5,1,1,0,0
2023-1005-285,2023-1005,Rabat,20230522,285,32,I,3,R32,59.0,203463,Nuria Parrizas Diaz,9.024390243902438,0.0035659597389988,679.0,31.8,167.0,0,0.0,0.0,24.0,12.0,5.0,4.0,4.0,2.0,5.0,0.4166666666666667,0,1,0,0
2023-1005-286,2023-1005,Rabat,20230522,286,32,I,3,R16,79.0,201585,Sloane Stephens,2.0,-0.2968219120590203,1280.0,30.1,170.0,0,0.0,1.0,41.0,27.0,18.0,10.0,8.0,0.0,1.0,0.6666666666666666,1,1,0,0
2023-1005-286,2023-1005,Rabat,20230522,286,32,I,3,R16,79.0,201693,Timea Babos,9.024390243902438,1.1995617729607086,290.0,30.0,179.0,0,2.0,2.0,59.0,35.0,21.0,6.0,8.0,5.0,10.0,0.6,0,1,0,0
2023-1005-287,2023-1005,Rabat,20230522,287,32,I,3,R16,122.0,220548,Peyton Stearns,9.024390243902438,0.1611482511950129,806.0,21.6,174.55169772785294,0,1.0,3.0,80.0,51.0,31.0,13.0,13.0,4.0,9.0,0.6078431372549019,1,1,0,0
2023-1005-287,2023-1005,Rabat,20230522,287,32,I,3,R16,122.0,220367,Leylah Fernandez,5.0,-0.3452661524506665,1023.0,20.7,168.0,1,0.0,8.0,82.0,50.0,28.0,14.0,12.0,4.0,10.0,0.56,0,1,0,0
2023-1005-288,2023-1005,Rabat,20230522,288,32,I,3,R16,81.0,219917,Alycia Parks,4.0,-0.1082459624838301,1049.0,22.3,185.0,0,7.0,6.0,55.0,32.0,27.0,12.0,9.0,4.0,4.0,0.84375,1,1,0,0
2023-1005-288,2023-1005,Rabat,20230522,288,32,I,3,R16,81.0,215872,Kamilla Rakhimova,9.024390243902438,-0.0628782521066516,735.0,21.7,174.55169772785294,0,1.0,6.0,53.0,28.0,19.0,12.0,8.0,4.0,7.0,0.6785714285714286,0,1,0,0
2023-1005-289,2023-1005,Rabat,20230522,289,32,I,3,R16,174.0,214459,Lucia Bronzetti,9.024390243902438,0.6056487037651039,637.0,24.4,174.55169772785294,0,2.0,1.0,113.0,71.0,46.0,20.0,17.0,5.0,10.0,0.647887323943662,1,1,0,0
2023-1005-289,2023-1005,Rabat,20230522,289,32,I,3,R16,174.0,213583,Tatjana Maria,8.0,-0.2372943082014843,855.0,35.7,172.0,0,6.0,2.0,109.0,53.0,31.0,27.0,17.0,5.0,12.0,0.5849056603773585,0,1,0,0
2023-1005-290,2023-1005,Rabat,20230522,290,32,I,3,R16,74.0,201709,Yulia Putintseva,6.0,0.0533905657234756,916.0,28.3,163.0,0,0.0,1.0,52.0,30.0,22.0,12.0,7.0,3.0,4.0,0.7333333333333333,1,1,0,0
2023-1005-290,2023-1005,Rabat,20230522,290,32,I,3,R16,74.0,206417,Leolia Jeanjean,9.024390243902438,0.3025649130444263,539.0,27.7,174.55169772785294,0,0.0,6.0,49.0,32.0,14.0,5.0,8.0,2.0,8.0,0.4375,0,1,0,0
2023-1005-291,2023-1005,Rabat,20230522,291,32,I,3,R16,150.0,220699,Julia Riera,9.024390243902438,1.858331797371724,358.0,20.9,174.55169772785294,0,3.0,2.0,108.0,66.0,39.0,24.0,12.0,15.0,18.0,0.5909090909090909,1,1,0,0
2023-1005-291,2023-1005,Rabat,20230522,291,32,I,3,R16,150.0,210886,Mayar Sherif,3.0,-0.3120440465278412,973.0,27.0,180.0,0,0.0,0.0,83.0,62.0,36.0,8.0,12.0,7.0,12.0,0.5806451612903226,0,1,0,0
2023-1005-292,2023-1005,Rabat,20230522,292,32,I,3,R16,108.0,211814,Julia Grabher,9.024390243902438,0.2284968046147236,769.0,26.8,170.0,0,0.0,5.0,63.0,44.0,34.0,6.0,10.0,2.0,4.0,0.7727272727272727,1,1,0,0
2023-1005-292,2023-1005,Rabat,20230522,292,32,I,3,R16,108.0,201666,Cagla Buyukakcay,9.024390243902438,1.415505461459073,261.0,33.6,172.0,0,1.0,3.0,79.0,62.0,34.0,6.0,9.0,5.0,9.0,0.5483870967741935,0,1,0,0
2023-1005-293,2023-1005,Rabat,20230522,293,32,I,3,R16,154.0,203354,Martina Trevisan,1.0,-0.4180493082144996,1608.0,29.5,160.0,1,1.0,5.0,81.0,52.0,33.0,14.0,12.0,6.0,9.0,0.6346153846153846,1,1,0,0
2023-1005-293,2023-1005,Rabat,20230522,293,32,I,3,R16,154.0,213544,Jana Fett,9.024390243902438,1.440422040901192,257.0,26.5,168.0,0,1.0,12.0,112.0,72.0,41.0,17.0,12.0,16.0,21.0,0.5694444444444444,0,1,0,0
2023-1005-294,2023-1005,Rabat,20230522,294,32,I,3,QF,166.0,201585,Sloane Stephens,2.0,-0.2968219120590203,1280.0,30.1,170.0,0,2.0,5.0,112.0,87.0,57.0,7.0,17.0,7.0,13.0,0.6551724137931034,1,1,0,0
2023-1005-294,2023-1005,Rabat,20230522,294,32,I,3,QF,166.0,220548,Peyton Stearns,9.024390243902438,-0.1957666757979527,806.0,21.6,174.55169772785294,0,1.0,3.0,114.0,83.0,42.0,18.0,16.0,8.0,15.0,0.5060240963855421,0,1,0,0
2023-1005-295,2023-1005,Rabat,20230522,295,32,I,3,QF,78.0,214459,Lucia Bronzetti,9.024390243902438,0.6056487037651039,637.0,24.4,174.55169772785294,0,0.0,1.0,47.0,30.0,23.0,9.0,7.0,3.0,3.0,0.7666666666666667,1,1,0,0
